,MSE,MAE,RMSE,MAPE(%),R2
Linear,9.893427647944076,2.1952952105158765,3.14538195581142,8.478724493611391,0.8932255268607289
Poly(deg2),2.9790319861723322,1.190866023845336,1.725987249713141,4.174131752382198,0.9678489010980247
Ridge,9.93717548762786,2.1958856740098165,3.152328581799153,8.545860935386049,0.8927533798254
Lasso,9.937214620775414,2.1953261369670445,3.1523347888153337,8.579176378529175,0.8927529574822687
SVR,10.624078668708774,2.1254767390421794,3.2594598737687774,7.831918999903818,0.8853400011797448
